club_name,avg_overall,avg_composite,count_players
Melbourne City,69.0,66.65454545454546,11
Middlesbrough,70.78260869565217,66.6295652173913,23
Nashville SC,70.26666666666667,66.60266666666666,15
Konyaspor,69.41176470588235,66.59882352941177,17
Hangzhou,70.6,66.56800000000001,5
Sion,68.70588235294117,66.56,17
Troyes,70.95652173913044,66.55565217391305,23
Santos,72.15789473684211,66.55263157894737,19
Vancouver Whitecaps,69.58333333333333,66.49333333333333,12
Philadelphia Union,71.14285714285714,66.46714285714286,14
FC Utrecht,70.28,66.4544,25
Spezia,71.4090909090909,66.44,22
Venezia,70.57142857142857,66.42,21
Talleres Córdoba,70.25,66.41,20
Bodø / Glimt,69.22222222222223,66.33555555555556,18
New York RB,69.71428571428571,66.32428571428572,14
Watford,71.03448275862068,66.31103448275861,29
Nacional,70.23076923076923,66.30307692307693,13
Union Saint-Gilloise,70.35,66.28200000000001,20
LA Galaxy,69.71428571428571,66.27714285714286,14
Olimpia,70.61538461538461,66.27692307692308,13
Lanús,70.47619047619048,66.27619047619048,21
Hull City,69.43478260869566,66.23391304347827,23
Ascoli,69.41176470588235,66.22470588235294,17
Tigre,70.0,66.22375,16
Al Adalh,69.5,66.2225,8
Changchun Yatai,69.57142857142857,66.22,7
Adelaide United,69.16666666666667,66.21666666666667,6
Angers SCO,70.56521739130434,66.20086956521739,23
Ferencváros,70.3913043478261,66.1991304347826,23
Bordeaux,69.46666666666667,66.19866666666667,15
Oriente Petrolero,67.5,66.195,4
Wuhan Three Towns,69.91666666666667,66.19166666666666,12
Newell's Old Boys,69.88235294117646,66.18705882352941,17
Colón,70.27272727272727,66.17363636363636,22
Cuiabá,69.73684210526316,66.16842105263159,19
Shandong Luneng,69.5625,66.165,16
Sturm Graz,69.38888888888889,66.1588888888889,18
Servette,69.64285714285714,66.14571428571428,14
Shenzhen,67.77777777777777,66.14444444444445,9
Fortuna Düsseldorf,70.3,66.127,20
Brescia,68.5,66.12625,16
Al Tai,68.77777777777777,66.11777777777779,9
West Bromwich Albion,70.29166666666667,66.10416666666667,24
Hajduk Split,69.68181818181819,66.1009090909091,22
Cremonese,71.32,66.08800000000001,25
Unión Santa Fe,69.23529411764706,66.08705882352942,17
Hannover 96,69.63157894736842,66.06631578947368,19
Parma,69.94736842105263,66.05368421052631,19
Hearts,69.71428571428571,66.03999999999999,21
Chicago Fire,69.4,66.02799999999999,10
Millwall,69.75,66.021,20
Lecce,70.69565217391305,66.00260869565217,23
Swansea City,69.6,65.996,15
Hatayspor,68.63157894736842,65.98842105263158,19
Jeonbuk Motors,69.1,65.986,20
Atlético GO,71.25,65.982,20
Bristol Rovers,67.0,65.98,3
Hebei CFFC,67.0,65.98,1
Auxerre,70.47826086956522,65.97826086956522,23
Guangzhou Evergrande,67.4,65.94800000000001,5
Huesca,68.8,65.929,20
New England,69.36842105263158,65.92315789473685,19
Gaziantep F.K.,69.23529411764706,65.91764705882352,17
Sporting KC,69.4,65.908,15
Jeju United,68.5,65.89,12
Coventry City,69.66666666666667,65.88666666666667,18
Boavista,69.42105263157895,65.88105263157895,19
Blackburn Rovers,69.42105263157895,65.87473684210526,19
Degerfors,65.5,65.86,2
Houston Dynamo,70.3,65.848,10
Fortaleza,70.5,65.84700000000001,20
Djurgården,69.23076923076923,65.83384615384615,13
Independiente,70.0,65.83333333333333,18
Al Taawon,70.0,65.824,10
Cagliari,70.15789473684211,65.8221052631579,19
Standard Liège,69.36363636363636,65.81818181818181,22
Arsenal de Sarandi,67.66666666666667,65.80666666666667,3
Alianza Lima,69.54545454545455,65.77090909090909,11
OH Leuven,69.16666666666667,65.76333333333334,18
América de Cali,69.83333333333333,65.74333333333333,18
Kayserispor,69.0,65.71411764705881,17
Orlando Pirates,68.45833333333333,65.71333333333334,24
Lorient,70.75,65.71000000000001,20
Real Oviedo,68.68181818181819,65.69272727272727,22
Mechelen,69.3157894736842,65.69052631578948,19
Malmö FF,68.94117647058823,65.68352941176471,17
Minnesota United,69.5,65.67875000000001,16
Kasımpaşa,69.23809523809524,65.6752380952381,21
Ñublense,69.33333333333333,65.67333333333333,6
FCSB,68.05882352941177,65.65529411764706,17
Al Ain,70.13333333333334,65.64933333333333,15
Vitória SC,69.26086956521739,65.64782608695653,23
Queens Park Rangers,69.42857142857143,65.63714285714286,21
Petrolul 52,67.8,65.628,5
New York City,69.8,65.618,10
Al Khaleej,69.75,65.6175,8
Sydney,67.81818181818181,65.59272727272727,11
Lech Poznań,69.0952380952381,65.58380952380952,21
Verl,66.0,65.58,1
Sporting Charleroi,69.26315789473684,65.56526315789473,19
Mamelodi Sundowns,69.37037037037037,65.53703703703704,27
Nacional Asunción,69.0,65.532,5
Marítimo,69.52631578947368,65.52526315789474,19
Estudiantes,70.44444444444444,65.52111111111111,18
Libertad,70.75,65.51875,16
Rosario Central,69.75,65.51,12
Ulsan,69.7,65.503,20
Seoul,68.35714285714286,65.49857142857142,14
Dhamk,69.41666666666667,65.48666666666666,12
Zürich,69.42857142857143,65.48571428571428,14
Gil Vicente,69.9090909090909,65.48,22
Brøndby,68.47058823529412,65.47058823529412,17
Defensa y Justicia,69.73684210526316,65.46736842105263,19
Famalicão,69.04,65.4592,25
AIK,69.11111111111111,65.45111111111112,9
Basel,69.10526315789474,65.43578947368421,19
Ajaccio,69.95833333333333,65.40833333333333,24
Cerro Porteño,69.23529411764706,65.38117647058823,17
Luton Town,68.91666666666667,65.37666666666667,24
Atlético Nacional,70.3529411764706,65.37294117647059,17
Barcelona Guayaquil,69.54545454545455,65.37272727272727,11
Charlotte,68.07142857142857,65.35428571428571,14
Deportes Tolima,69.76923076923077,65.35230769230769,13
Kortrijk,68.35,65.32300000000001,20
Macarthur,66.875,65.315,8
AS Eupen,68.07692307692308,65.3076923076923,13
Newcastle Jets,67.0,65.29599999999999,5
Beijing Guoan,67.54545454545455,65.29272727272728,11
Benevento,69.25,65.284,20
Sochaux,68.23529411764706,65.28117647058824,17
DC United,68.8,65.27799999999999,20
Al Batin,70.57142857142857,65.27428571428571,7
Bristol City,68.95454545454545,65.27272727272727,22
Vitesse,68.66666666666667,65.26666666666667,18
Westerlo,67.95,65.259,20
Zwickau,66.33333333333333,65.25333333333334,3
Seongnam,69.0,65.25,2
Zulte-Waregem,68.4375,65.2425,16
Santa Clara,68.94117647058823,65.24235294117646,17
SC Heerenveen,69.25,65.2375,16
Real Salt Lake,68.9,65.22800000000001,10
NEC,69.27777777777777,65.22777777777777,18
Tranmere Rovers,66.0,65.22,1
Palermo,68.78571428571429,65.18571428571428,14
Luzern,67.53333333333333,65.18533333333333,15
Clermont,70.05263157894737,65.18315789473684,19
Legia Warszawa,67.94736842105263,65.16526315789474,19
Stevenage,66.0,65.16,1
Lugano,67.84615384615384,65.16,13
Daegu,69.44444444444444,65.1511111111111,9
Preston North End,69.0952380952381,65.14095238095238,21
Vålerenga,67.58333333333333,65.13833333333334,12
Rapid Vienna,68.47058823529412,65.13176470588235,17
Cardiff City,68.05,65.128,20
Wuhan Zall,67.0,65.125,4
Valenciennes,68.4,65.112,10
